[15/Mar/2017 23:09:04] "GET /arquivos_estaticos/angular-1.5.8/angular-locale_pt-br.js HTTP/1.1" 304 0
[15/Mar/2017 23:09:04] "GET /arquivos_estaticos/angular-1.5.8/dirPagination.js HTTP/1.1" 304 0
[15/Mar/2017 23:09:04] "GET /arquivos_estaticos/adminlte/js/app.min.js HTTP/1.1" 304 0
[15/Mar/2017 23:09:05] "GET /arquivos_estaticos/jquery/jquery.maskMoney.js HTTP/1.1" 304 0
[15/Mar/2017 23:09:05] "GET /arquivos_estaticos/scripts/mask.js HTTP/1.1" 304 0
[15/Mar/2017 23:09:05] "GET /arquivos_estaticos/styles/padrao/AdminLTE.min.css HTTP/1.1" 404 1727
[15/Mar/2017 23:09:05] "GET /arquivos_estaticos/scripts/padrao/controle_componentes.js HTTP/1.1" 304 0
[15/Mar/2017 23:09:05] "GET /arquivos_estaticos/angular-1.5.8/dirPagination.js HTTP/1.1" 304 0
[15/Mar/2017 23:09:05] "GET /arquivos_estaticos/imagens/logo.png HTTP/1.1" 304 0
[15/Mar/2017 23:09:05] "GET /arquivos_estaticos/imagens/avatar5.png HTTP/1.1" 304 0
[15/Mar/2017 23:09:06] "GET /api/preferencias/salarios HTTP/1.1" 200 3292
[15/Mar/2017 23:09:06] "GET /api/preferencias/salario_vigente HTTP/1.1" 301 0
[15/Mar/2017 23:09:06] "GET /api/preferencias/salario_vigente/ HTTP/1.1" 200 292
[15/Mar/2017 23:12:20] "GET /api/preferencias/salario_vigente/ HTTP/1.1" 200 292
[15/Mar/2017 23:12:21] "POST /api/preferencias/novo_salario HTTP/1.1" 200 62
[15/Mar/2017 23:12:43] "GET /preferencias/ HTTP/1.1" 200 41975
[15/Mar/2017 23:12:43] "GET /arquivos_estaticos/styles/padrao/AdminLTE.min.css HTTP/1.1" 404 1727
[15/Mar/2017 23:12:44] "GET /arquivos_estaticos/styles/padrao/AdminLTE.min.css HTTP/1.1" 404 1727
[15/Mar/2017 23:12:44] "GET /api/preferencias/salarios HTTP/1.1" 200 3420
[15/Mar/2017 23:12:45] "GET /api/preferencias/salario_vigente/ HTTP/1.1" 200 308
[15/Mar/2017 23:13:48] "POST /api/preferencias/novo_salario HTTP/1.1" 200 62
[15/Mar/2017 23:13:48] "GET /api/preferencias/salario_vigente/ HTTP/1.1" 200 307
[15/Mar/2017 23:14:01] "GET /preferencias/ HTTP/1.1" 200 41975
[15/Mar/2017 23:14:01] "GET /arquivos_estaticos/styles/padrao/AdminLTE.min.css HTTP/1.1" 404 1727
[15/Mar/2017 23:14:02] "GET /arquivos_estaticos/styles/padrao/AdminLTE.min.css HTTP/1.1" 404 1727
[15/Mar/2017 23:14:02] "GET /api/preferencias/salarios HTTP/1.1" 200 3547
[15/Mar/2017 23:14:03] "GET /api/preferencias/salario_vigente/ HTTP/1.1" 200 307
[15/Mar/2017 23:15:24] "GET /preferencias/ HTTP/1.1" 200 41975
